ID,Event start date,One day?,Event end date,Day of the week,Action type,Action,Actor-structure,Actor-form,Actor-ideology,Actor specified,Target addressee,Target criticized,Target-structure,Target-form,Target-ideology,Target specified,Event,Event series,Oblast,Location,Time,Issue 1,Issue 2,Issue 3,Number of protesters,Number of protesters arrested,Number of protesters injured,Number of protesters killed,Property damage,State forces involved in the conflict,Number of state forces injured,Number of state forces killed,Dubious event
CK11012001,20.01.11,1,20.01.11,Thu,negative response,preempt,law-enforcement,,,police department of Cherkasy,,,small business,business association,,Cherkasy Business Club,Police summon activists of protest actions against Tax Code in order to tell them not to attend prospective protest actions in Kiev on Maidan Nezalezhnosti.,,Cherkasy,Cherkasy,,taxes,,,,0,0,0,N,,0,0,N
CK11012101,21.01.11,1,21.01.11,Fri,protest,rally,,party,leftists,Cherkasy city committee of the Communist Party of Ukraine,,local authorities,,,,"Cherkasy City Council, City Mayor","Participants protested against raising tha tariffs for housing and communal services, renaming the streets and against raising the retirement age. But the reason for such a protest was Vladimir Lenin's birthday.",,Cherkasy,Cherkasy,,pro-Communism,public utilities,Soviet holiday,201,0,0,0,N,,0,0,N
CK11020301,03.02.11,1,03.02.11,Thu,protest,picket,workers,,,,local authorities,local authorities,,,,Cherkasy Regional Council,Workers of medical institutions and ordinary people protested against the plan of hospital optimization.,,Cherkasy,Cherkasy,,public health,,,151,0,0,0,N,,0,0,N
CK11020801,08.02.11,1,08.02.11,Tue,protest,rally,workers,,,23 employees of the local hospital and around 100 local dwellers,local authorities,local authorities,,,,Chyhyryn district council,"The local hospital was underfinanced, which threatens its functioning and the medics jobs. Meeting of employee collective demands the state to hold its initial warranties.",,Cherkasy,Borovytsia village,,insufficient financing,,,123,0,0,0,N,,0,0,N
CK11020802,08.02.11,1,08.02.11,Tue,negative response,search,law-enforcement,,,police,,,,"party, NGO",,"UNP, NGO ""Freedom 21""",Police searched the appartment of the pro-Ukrainian NGO members and confiscated their computers.,CK11020801,Cherkasy,Cherkasy,,Ukrainian nationalism,,,,0,0,0,N,,0,0,N
CK11020901,09.02.11,1,09.02.11,Wed,protest,rally,,"party, NGO",rightists,"Svoboda, UNP, NGO ""Freedom 21""","local authorities, law-enforcement","local authorities, law-enforcement",,,,"Cherkasy City Council, regional offices of the Security Service of Ukraine and Ministry of Internal Affairs",Participants protested against political repressions and unmotivated searches of right-wing activists' dwellings.,CK11020801,Cherkasy,Cherkasy,,police abuse,Ukrainian nationalism,,49,0,0,0,N,,0,0,N
CK11021801,18.02.11,1,18.02.11,Fri,protest,rally,,party,leftists,CPU,law-enforcement,local authorities,,,,Cherkasy City Council,People protested against increase the cost of public services. Also they applied to the prosecutor of Cherkasy city with the demand to check the reasonableness of increasing the price of public utilities.,,Cherkasy,Cherkasy,,public utilities,,,99,0,0,0,N,,0,0,N
CK11022101,21.02.11,1,21.02.11,Mon,protest,rally,pensioners,party,leftists,CPU,local authorities,local authorities,,,,Cherkasy City Council,People protested against increase the cost of public services.,,Cherkasy,Cherkasy,,public utilities,,,,0,0,0,N,,0,0,N
CK11022201,22.02.11,1,22.02.11,Tue,protest,rally,pensioners,"NGO, party",,Batkivshchyna,local authorities,"government, local authorities",,,,"President of Ukraine, Cherkasy city administration",People protested against general decrease of social welfare in Ukraine and they accused President Yanukovych of these negative processes.,CK11020301,Cherkasy,Cherkasy,12:00,public utilities,freedom of speech,public health,199,0,0,0,N,,0,0,N
CK11022401,24.02.11,1,24.02.11,Thu,negotiation,negotiation,"local authorities, law-enforcement",,,"Regional State Administration, public prosecutor",,,citizens,,,People involved in a conflict with credit unions.,"Representatives of local authorities negotiated with people, who took part in earlier protests against fraud of credit unions.",,Cherkasy,Cherkasy,,fraud,,,,0,0,0,N,,0,0,N
